gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,0.1023712383613841,0,0,0,0,1,0,1,1,0,-0.5219756496159262,-0.2632890631964203,1,0,0,1,0,0,0,0,1,0
1,0,1,1,-0.7117434584104956,1,0,1,0,0,0,0,0,0,0.3374778078243394,-0.5048144831572396,0,1,0,1,0,0,0,0,0,1
1,0,1,1,-0.7931549280876836,0,0,1,1,0,1,0,0,0,-0.8090131942822701,-0.7512134391325384,1,0,0,0,0,1,0,0,0,1
0,0,1,0,-0.2639803751859618,1,0,0,1,1,0,1,1,1,0.2843841579438598,-0.1736994214167345,1,0,0,0,0,1,0,1,0,0
1,0,1,1,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-0.6762790695810708,-0.99085091270937,1,0,0,1,0,0,0,0,1,0
1,0,0,1,1.3642490183577978,1,0,0,1,1,1,1,1,1,0.48348534499565887,1.2709747139024437,1,0,0,0,0,1,0,1,0,0
0,0,0,0,-1.2816237461508113,1,0,0,0,0,0,0,0,0,-1.497571466169742,-1.0017175808497631,0,0,1,1,0,0,0,1,0,0
0,0,1,0,0.30589991255435406,1,1,0,1,0,0,0,0,0,-0.27641751891870747,0.03415030374133098,1,0,0,1,0,0,0,1,0,0
0,0,1,0,1.3235432835192036,1,0,0,0,0,1,1,0,1,-0.17023021915774814,0.6616070891730831,1,0,0,0,0,1,0,1,0,0
0,0,0,0,1.1200146093262338,1,1,0,0,1,1,1,1,0,0.5183280527297236,1.1177217638255048,1,0,0,0,1,0,0,1,0,0
0,1,0,0,-1.1188008067964355,1,0,1,1,0,1,0,0,0,-0.1669118660402181,-0.8840282719595658,1,0,0,1,0,0,0,1,0,0
0,0,1,1,-1.1188008067964355,1,0,1,0,0,0,0,0,1,-0.5153389433808665,-0.9083081405722422,1,0,0,1,0,0,0,0,0,1
0,0,0,0,-1.2409180113122174,1,0,1,0,0,0,0,0,0,-0.46390447005915153,-0.9563849147691331,1,0,0,1,0,0,0,0,0,1
1,0,1,1,-0.10115743583158582,1,1,1,1,1,1,0,0,0,0.08860132400959055,-0.1322085066988697,1,0,0,1,0,0,0,0,1,0
1,0,1,0,0.14307697319997809,1,1,0,0,0,0,1,1,1,1.0111034906829266,0.5149619514401006,0,1,0,1,0,0,0,0,1,0
0,0,1,1,0.9164859351332638,1,0,0,0,0,0,0,0,1,0.1367174442137754,0.676710660244983,0,1,0,0,0,1,0,1,0,0
0,0,0,0,-0.06045170099299184,1,1,1,0,1,0,0,0,1,0.6576988836659831,0.13702142880371965,0,1,0,1,0,0,0,1,0,0
0,1,1,1,-0.1825689055087738,0,0,0,0,0,0,1,0,1,-0.9633166142474143,-0.5829227765784898,1,0,0,1,0,0,0,0,1,0
1,0,0,0,-0.6710377235719016,1,0,0,0,0,0,0,0,0,-1.5257774676687466,-0.8669269901790279,0,0,1,0,0,1,0,1,0,0
